Miley Cyrus - Flowers-1,616,808,370-2,642,878
Jung Kook - Seven-1,150,414,376-3,968,007
Eslabon Armado - Ella Baila Sola-999,810,875-1,895,092
Bizarrap - Shakira: Bzrp Music Sessions, Vol. 53-836,914,898-963,881
KAROL G - TQG-822,806,105-1,484,653
Yng Lvcas - La Bebe-820,954,043-1,554,206
d4vd - Here With Me-813,205,086-1,435,302
Grupo Frontera - un x100to-773,199,876-1,822,281
David Kushner - Daylight-746,133,394-2,668,730
PinkPantheress - Boy's a liar Pt. 2-732,262,145-1,072,457
FIFTY FIFTY - Cupid-714,372,355-1,344,913
Jimin - Like Crazy-710,370,028-2,253,945
The Weeknd - Die For You-702,627,951-1,283,471
Morgan Wallen - Last Night-658,744,297-1,692,357
Myke Towers - LALA-652,559,237-2,535,839
Doja Cat - Paint The Town Red-639,265,303-3,732,553
Feid - CLASSY 101-619,255,930-2,453,413
Olivia Rodrigo - vampire-587,577,962-2,722,199
Bad Bunny - WHERE SHE GOES-584,120,511-1,257,895
Oliver Tree - Miss You-562,604,546-491,804
Peso Pluma - PRC-558,088,082-922,289
Dua Lipa - Dance The Night-552,137,140-2,188,385
NewJeans - OMG-551,510,327-945,708
Junior H - El Azul-538,626,832-1,249,100
ROSALÃA - BESO-533,581,827-974,932
Dave - Sprinter-496,594,458-1,733,373
Billie Eilish - What Was I Made For? [From The Motion Picture "Barbie"]-485,505,886-2,202,296
Kali Uchis - Moonlight-483,210,204-1,642,785
Gunna - fukumean-478,737,475-2,270,159
Quevedo - Columbia-459,652,559-2,221,044
Oscar Maydon - Fin de Semana-434,797,087-1,018,016
Peso Pluma - LADY GAGA-428,927,214-2,372,170
Tate McRae - greedy-412,326,811-5,319,077
KAROL G - QLONA-402,970,358-3,337,203
Chino Pacas - El Gordo Trae El Mando-398,190,323-626,303
Taiu - Rara Vez-385,564,923-1,010,769
The Weeknd - Popular-380,290,435-1,601,060
Marshmello - El Merengue-375,169,892-862,611
Eladio Carrion - Coco Chanel-369,638,105-606,511
Nicki Minaj - Barbie World-367,316,375-991,730
KAROL G - X SI VOLVEMOS-363,184,592-858,506
NewJeans - Super Shy-357,662,124-1,466,912
Fuerza Regida - TQM-357,295,683-1,165,739
Bizarrap - Peso Pluma: Bzrp Music Sessions, Vol. 55-356,719,695-767,832
Post Malone - Chemical-353,921,254-1,261,953
Green Neon DJ - El Gordo Trae El Mando (Tik Tok Edit)-350,567,118-1,061,637
KAROL G - AMARGURA-348,443,498-1,570,386
AgroPlay - Nosso Quadro-343,338,623-558,738
Carin Leon - Primera Cita-341,627,521-1,842,289
Kenya Grace - Strangers-340,865,349-3,267,637
Yahritza Y Su Esencia - FrÃ¡gil-340,836,709-623,995
David Guetta - Baby Don't Hurt Me-339,411,264-1,052,504
JISOO - FLOWER-332,199,788-626,385
Calvin Harris - Miracle-325,292,769-741,918
Luke Combs - Fast Car-320,191,760-1,038,927
KAROL G - MIENTRAS ME CURO DEL CORA-304,601,660-748,012
Mitski - My Love Mine All Mine-294,229,495-4,759,502
Lil Uzi Vert - Watch This-292,518,202-740,034
Lana Del Rey - Say Yes To Heaven-292,473,216-1,315,220
Fuerza Regida - SABOR FRESA-292,110,179-1,391,589
Peggy Gou - (It Goes Like) Nanana-291,018,595-1,013,462
TINI - Cupido-289,481,469-503,768
Ed Sheeran - Eyes Closed-287,632,721-667,027
TiÃ«sto - Lay Low-285,818,442-768,368
Lewis Capaldi - Forget Me-285,381,455-354,119
LIT killah - Los del Espacio-279,303,407-805,843
MarÃ­lia MendonÃ§a - EsqueÃ§a-Me Se For Capaz-275,392,448-122,073
Drake - Search & Rescue-270,036,412-661,033
Jimin - Like Crazy (English Version)-269,189,616-614,107
Jung Kook - 3D-268,578,204-2,195,520
Peso Pluma - TULUM-265,971,829-1,193,165
Cartel De Santa - Shorty Party-263,788,868-369,682
Olivia Rodrigo - bad idea right?-261,209,546-1,137,076
Big One - Un Finde | CROSSOVER #2-259,217,634-682,245
Lil Durk - All My Life-258,886,268-676,863
Carin Leon - No Es Por AcÃ¡-256,110,104-584,625
Jimin - Set Me Free Pt.2-248,930,559-643,994
cassÃ¶ - Prada-248,875,773-2,167,508
Sky Rompiendo - El Cielo-248,619,098-726,897
DENNIS - TÃ¡ OK-247,626,671-544,709
Travis Scott - I KNOW ?-247,357,004-1,771,809
YOASOBI - ã¢ã¤ãã«-246,471,987-648,020
Simone Mendes - Erro Gostoso-245,590,005-455,485
Quevedo - WANDA-245,076,429-574,696
V - Love Me Again-244,749,264-1,787,426
Mae Stephens - If We Ever Broke Up-241,661,545-397,328
Tainy - MOJABI GHOST-238,508,697-927,547
Calle 24 - Que Onda-237,397,836-2,969,348
Becky G - CHANEL-234,779,739-428,892
Colbie Caillat - Try-229,756,710-76,206
Doechii - What It Is (Solo Version)-229,298,886-647,076
Israel & Rodolffo - Seu Brilho Sumiu-226,422,429-372,032
Zach Bryan - I Remember Everything-223,816,535-2,171,104
Morgan Wallen - Thinkinâ Bout Me-222,392,440-871,701
Travis Scott - MELTDOWN-221,121,132-1,035,001
Bad Bunny - PERRO NEGRO-220,603,297-3,440,012
Bad Bunny - MONACO-220,559,272-2,951,304
Sebastian Yatra - VAGABUNDO-219,097,091-744,889
Travis Scott - FE!N-219,014,923-1,358,890
KAROL G - MI EX TENÃA RAZÃN-214,343,582-1,473,552
Guilherme & Benuto - Duas TrÃªs-213,648,761-446,629
Grupo Marca Registrada - Di Que SÃ­-213,328,631-429,008
Maluma - SegÃºn QuiÃ©n-213,242,066-2,671,874
ZÃ© Neto & Cristiano - Oi Balde-212,912,471-303,263
V - Slow Dancing-212,811,990-1,648,667
Henrique & Juliano - Traumatizei-210,950,077-230,589
Travis Scott - K-POP-209,325,173-579,460
Anuel AA - Mas Rica Que Ayer-207,772,391-456,670
Tyla - Water-206,499,285-2,425,856
BTS - Take Two-206,335,399-508,891
Jhayco - Holanda-202,695,019-1,036,034
Bad Gyal - Chulo pt.2-201,659,505-959,913
(G)I-DLE - Queencard-201,219,445-542,787
Grupo Menos Ã Mais - Lapada Dela-199,426,779-696,673
