Post Malone - The Diamond Collection-24,005,170,845-10,525,120
Bad Bunny - Un Verano Sin Ti-15,074,577,392-8,943,911
Ed Sheeran - ÷-14,117,024,987-4,090,440
The Weeknd - Starboy-12,485,091,580-10,813,862
Post Malone - Hollywood's Bleeding-11,866,988,261-5,227,549
Dua Lipa - Dua Lipa-11,661,945,892-3,694,047
Dua Lipa - Future Nostalgia-11,525,143,807-4,654,605
Post Malone - beerbongs & bentleys-11,342,023,342-2,667,445
The Weeknd - After Hours-11,240,555,632-6,751,079
Olivia Rodrigo - SOUR-11,029,731,348-7,418,916
Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?-10,405,305,354-3,360,158
Ed Sheeran - x-10,237,217,909-2,474,761
XXXTENTACION - ?-10,151,136,793-3,567,808
Justin Bieber - Purpose-9,605,313,137-3,116,644
Drake - Scorpion-9,602,202,837-3,066,022
Bad Bunny - YHLQMDLG-9,150,454,452-3,810,820
Drake - Views-9,025,139,261-3,243,300
The Weeknd - Beauty Behind The Madness-8,654,681,757-3,927,688
Post Malone - Stoney-8,621,533,319-2,590,835
Harry Styles - Fine Line-8,603,845,853-3,710,739
Billie Eilish - dont smile at me-8,600,604,206-4,736,463
Juice WRLD - Goodbye & Good Riddance-8,422,562,384-3,975,448
Taylor Swift - Lover-8,369,440,377-12,111,284
Sam Smith - In The Lonely Hour-8,189,616,976-3,188,386
Arctic Monkeys - AM-8,134,615,490-7,988,454
Travis Scott - ASTROWORLD-8,113,294,912-4,329,663
Lewis Capaldi - Divinely Uninspired To A Hellish Extent-7,914,330,085-4,078,789
XXXTENTACION - 17-7,781,675,350-3,659,893
Justin Bieber - Justice-7,449,027,861-3,738,651
Taylor Swift - Midnights-7,428,398,329-11,789,520
Taylor Swift - 1989-7,423,551,934-5,345,347
Imagine Dragons - Evolve-7,405,854,623-3,162,400
Ariana Grande - thank u, next-7,306,736,786-2,124,949
Kendrick Lamar - DAMN.-7,303,866,141-3,919,419
Pop Smoke - Shoot For The Stars Aim For The Moon-7,272,625,739-2,892,527
Bruno Mars - Doo-Wops & Hooligans-7,226,142,563-5,119,005
Doja Cat - Planet Her-7,125,631,990-3,353,640
Shawn Mendes - Shawn Mendes-7,056,130,454-1,672,691
The Kid LAROI - F*CK LOVE 3+: OVER YOU-6,911,632,027-2,368,739
Harry Styles - Harry's House-6,887,500,281-5,661,552
Taylor Swift - reputation-6,774,503,227-8,141,290
Twenty One Pilots - Blurryface-6,669,252,805-2,446,739
Drake - More Life-6,640,917,979-2,748,903
Taylor Swift - folklore: the long pond studio sessions-6,630,092,330-9,313,799
Lana Del Rey - Born To Die-6,556,242,870-6,117,427
Imagine Dragons - Night Visions-6,509,802,406-3,192,748
Shawn Mendes - Illuminate-6,502,715,119-2,752,154
Rihanna - ANTI-6,434,068,690-3,375,240
Adele - 21-6,314,199,137-4,127,062
Eminem - The Eminem Show-6,274,194,554-5,288,443
SZA - SOS-6,269,310,255-10,997,625
Adele - 25-6,197,073,444-3,175,831
Ariana Grande - Dangerous Woman-6,124,939,371-2,755,779
Ariana Grande - My Everything-6,071,348,457-2,526,515
The Rolling Stones - Forty Licks-6,068,241,924-3,068,055
Bad Bunny - EL ÚLTIMO TOUR DEL MUNDO-5,950,616,704-2,603,069
Katy Perry - Teenage Dream: The Complete Confection-5,950,221,121-4,448,933
Juice WRLD - Legends Never Die-5,947,963,055-2,281,357
Khalid - American Teen-5,838,369,575-1,236,983
Ed Sheeran - No.6 Collaborations Project-5,826,147,144-1,197,129
Charlie Puth - Nine Track Mind-5,659,272,728-2,217,449
Lady Gaga - The Fame Monster-5,642,520,443-4,010,792
Lil Uzi Vert - Luv Is Rage 2-5,614,305,814-2,425,643
Maroon 5 - Red Pill Blues-5,566,244,255-1,388,351
Sia - This Is Acting-5,552,889,980-2,411,481
Juice WRLD - Death Race For Love-5,551,613,961-2,166,878
Zara Larsson - So Good-5,550,248,379-1,413,213
Anne-Marie - Speak Your Mind-5,487,216,267-1,454,023
Ed Sheeran - =-5,480,060,651-2,620,416
Bad Bunny - X 100PRE-5,468,300,861-1,885,484
Lil Nas X - MONTERO-5,430,762,600-1,765,557
BTS - MAP OF THE SOUL : 7-5,418,767,898-1,656,279
Hozier - Hozier-5,372,469,409-3,842,711
Lady Gaga - A Star Is Born-5,356,739,079-1,954,635
J. Cole - 2014 Forest Hills Drive-5,329,821,750-3,396,773
Maroon 5 - V-5,298,786,638-2,694,302
Bruno Mars - Unorthodox Jukebox-5,278,873,099-3,815,909
Sam Smith - Love Goes-5,158,386,053-1,660,975
Nirvana - Nevermind-5,085,880,877-2,744,396
Alan Walker - Different World-5,079,930,936-1,438,244
Bruno Mars - 24K Magic-5,061,705,144-2,528,791
Luis Fonsi - VIDA-5,034,888,752-934,591
Clean Bandit - What Is Love?-5,007,516,317-1,213,324
Kanye West - Graduation-4,973,021,806-5,600,890
Various Artists - Spider-Man: Into the Spider-Verse-4,878,800,865-2,647,577
Kendrick Lamar - good kid, m.A.A.d city-4,867,261,839-3,023,672
Various Artists - The Greatest Showman-4,863,291,306-1,588,588
Jonas Blue - Blue-4,857,786,545-1,203,090
Lady Gaga - A Star Is Born Soundtrack-4,857,354,896-1,873,415
Avicii - True-4,842,785,743-2,225,774
Billie Eilish - Happier Than Ever-4,839,473,113-3,536,997
Ariana Grande - Positions-4,832,320,750-2,161,599
Camila Cabello - Romance-4,771,709,755-1,918,638
Fleetwood Mac - Rumours-4,763,687,002-3,438,039
Ariana Grande - Sweetener-4,723,606,863-1,236,228
Travis Scott - Birds In The Trap Sing McKnight-4,721,292,861-2,466,807
Linkin Park - Hybrid Theory-4,720,043,735-3,410,962
Sebastian Yatra - Éxitos de Yatra-4,719,136,108-2,741,445
Christian Nodal - La Voz De México ¡Lo Mejor!-4,671,035,165-2,422,945
Frank Ocean - Blonde-4,662,077,851-4,450,844
Maroon 5 - Overexposed-4,657,444,398-3,004,256
