Drake-89,987.2-61.090-61,083.5-34,445.8-28,903.7
Bad Bunny-72,497.1-55.831-44,365.9-25,029.6-28,131.1
Taylor Swift-65,976.8-106.339-63,576.7-57,940.4-2,400.1
The Weeknd-57,140.7-46.353-45,423.3-32,838.4-11,717.4
Ed Sheeran-49,393.2-18.652-44,025.8-34,970.7-5,367.4
Justin Bieber-49,103.8-23.412-29,018.0-17,796.7-20,085.8
Eminem-43,650.2-27.101-36,858.5-22,414.3-6,791.7
Ariana Grande-41,624.8-22.575-34,349.4-24,075.5-7,275.4
Travis Scott-39,824.2-32.405-20,337.5-15,817.4-19,486.7
J Balvin-39,707.2-11.439-17,917.5-5,796.4-21,789.7
Kanye West-39,664.8-30.075-28,792.7-19,032.9-10,872.1
Post Malone-39,437.4-19.151-35,795.4-19,740.1-3,642.0
Rihanna-37,214.2-22.402-26,721.5-17,641.5-10,492.6
BTS-36,884.8-14.590-32,948.0-29,834.8-3,936.7
Ozuna-34,358.3-13.473-14,463.6-6,384.7-19,894.7
Juice WRLD-33,414.1-15.424-24,404.3-18,909.4-9,009.7
Future-32,621.9-22.801-16,000.1-7,654.4-16,621.8
Nicki Minaj-31,961.5-12.498-11,162.6-6,308.7-20,798.9
Kendrick Lamar-31,173.0-18.529-20,990.8-12,745.5-10,182.2
Billie Eilish-30,648.6-18.854-30,648.6-26,573.8-
Chris Brown-29,444.4-16.499-15,519.2-7,404.0-13,925.2
XXXTENTACION-29,295.8-12.585-25,495.5-20,912.2-3,800.3
Imagine Dragons-29,292.7-15.673-27,586.0-23,509.8-1,706.7
Bruno Mars-28,928.5-18.750-22,066.8-18,198.1-6,861.7
Coldplay-28,781.2-18.101-26,319.7-23,398.2-2,461.5
Khalid-28,454.1-8.538-15,051.3-9,942.6-13,402.8
Dua Lipa-28,400.4-15.918-18,619.8-14,827.0-9,780.6
Daddy Yankee-28,160.1-11.681-13,008.9-6,708.7-15,151.2
Lil Wayne-27,554.0-12.065-10,404.2-2,892.2-17,149.8
David Guetta-26,395.0-14.677-19,227.5-251.4-7,167.5
Anuel AA-24,851.9-15.483-11,416.3-3,447.5-13,435.6
21 Savage-24,824.5-24.076-9,647.1-5,009.5-15,177.4
Lil Baby-24,404.7-14.580-12,208.7-5,634.8-12,196.1
Maroon 5-24,272.2-11.391-24,072.3-15,455.2-199.9
Lil Uzi Vert-23,728.3-11.303-15,266.5-12,207.1-8,461.8
Maluma-23,621.6-11.208-13,112.9-8,025.1-10,508.7
BeyoncÃ©-22,883.3-11.514-18,870.0-14,238.9-4,013.2
Calvin Harris-22,711.4-10.312-21,039.1-3,710.9-1,672.4
Rauw Alejandro-22,558.8-16.840-12,314.7-4,656.6-10,244.1
Shawn Mendes-22,537.3-8.014-21,915.0-16,835.4-622.3
Young Thug-22,317.7-10.358-7,593.5-1,913.1-14,724.2
Sia-22,244.7-13.834-14,917.0-10,894.5-7,327.7
J. Cole-22,123.0-14.916-16,759.2-13,380.5-5,363.8
Lana Del Rey-21,982.2-25.657-19,889.9-17,895.0-2,092.3
Sam Smith-21,938.2-10.683-18,683.8-13,992.3-3,254.4
Farruko-21,508.0-7.498-5,850.3-3,269.8-15,657.7
Queen-20,488.5-10.309-20,432.4-18,869.6-56.0
Selena Gomez-19,884.9-8.443-11,921.4-8,576.8-7,963.6
Harry Styles-19,861.9-12.559-19,861.9-19,861.9-
Nicky Jam-19,757.5-4.893-7,970.7-2,087.7-11,786.8
KAROL G-19,638.4-24.208-13,975.7-6,309.9-5,662.7
Lady Gaga-19,568.7-10.362-19,142.1-12,714.5-426.6
Halsey-19,564.4-6.615-10,792.2-9,532.9-8,772.2
Myke Towers-19,506.3-16.701-6,528.0-4,452.8-12,978.2
One Direction-19,431.5-8.777-19,431.5-19,349.5-
Doja Cat-19,418.6-17.641-15,810.1-11,174.3-3,608.6
Adele-18,870.5-12.240-18,828.3-18,701.0-42.2
Ty Dolla $ign-18,668.0-4.143-3,996.6-277.2-14,671.4
SZA-18,491.2-23.050-11,691.7-8,755.6-6,799.4
Shakira-18,366.3-12.835-13,923.3-6,475.1-4,443.0
Wiz Khalifa-18,051.3-5.967-8,252.5-3,128.1-9,798.8
The Chainsmokers-17,901.9-5.280-17,440.8-3,140.9-461.0
Katy Perry-17,640.0-9.906-15,363.1-11,683.2-2,276.9
Cardi B-17,474.6-4.925-8,055.9-3,182.8-9,418.7
The Beatles-17,433.1-9.611-17,430.9-17,265.3-2.2
Linkin Park-17,066.5-11.664-15,823.6-14,812.3-1,242.9
Marshmello-17,026.7-11.337-12,617.2-1,448.1-4,409.5
Gunna-16,989.5-11.266-5,688.7-3,079.0-11,300.7
DaBaby-16,422.6-4.689-7,691.4-4,281.9-8,731.2
Camila Cabello-16,292.2-5.208-9,238.1-4,784.3-7,054.1
Miley Cyrus-16,242.0-11.006-13,970.0-12,173.8-2,272.0
Arctic Monkeys-16,188.3-14.299-16,188.3-16,188.3-
JAY-Z-16,041.8-9.056-8,770.4-1,975.6-7,271.4
Feid-15,831.7-25.954-8,154.5-4,683.3-7,677.2
Avicii-15,631.6-6.082-14,633.8-9,786.2-997.8
Quavo-15,435.6-4.395-1,797.8-650.1-13,637.8
A$AP Rocky-15,395.8-7.567-8,313.3-3,228.2-7,082.4
Kygo-15,381.2-3.740-13,734.1-204.4-1,647.2
Pitbull-15,202.9-6.888-10,408.5-1,217.5-4,794.4
Twenty One Pilots-15,046.1-5.521-15,044.9-14,989.6-1.3
Sech-14,930.3-4.308-6,078.4-1,917.7-8,851.9
Metro Boomin-14,781.4-20.049-7,409.2-86.5-7,372.2
Tyga-14,294.3-4.597-6,216.4-2,325.3-8,077.9
Olivia Rodrigo-14,058.3-19.379-14,056.2-12,780.8-2.1
Jason Derulo-13,934.5-4.300-10,603.5-6,383.5-3,331.0
Snoop Dogg-13,893.2-7.624-5,291.0-1,251.7-8,602.2
Red Hot Chili Peppers-13,885.5-8.827-13,885.5-13,884.8-
Trippie Redd-13,857.5-5.108-8,966.8-4,645.9-4,890.8
Frank Ocean-13,817.8-11.314-10,885.3-10,043.6-2,932.4
Tyler, The Creator-13,763.7-11.171-11,513.2-5,995.5-2,250.5
OneRepublic-13,727.7-8.013-12,680.4-11,056.3-1,047.3
Demi Lovato-13,713.4-4.377-8,725.5-7,669.9-4,987.9
Bebe Rexha-13,361.7-5.240-4,898.9-2,384.6-8,462.8
A Boogie Wit da Hoodie-13,086.0-5.185-8,487.7-4,411.0-4,598.3
Mac Miller-13,075.5-8.177-12,067.1-8,759.5-1,008.4
Michael Jackson-12,994.7-6.601-12,351.3-11,372.2-643.4
Big Sean-12,945.3-2.845-6,035.0-1,952.3-6,910.2
Migos-12,909.9-3.150-8,677.6-4,032.3-4,232.3
ArcÃ¡ngel-12,886.9-10.324-4,843.8-1,109.0-8,043.0
Pop Smoke-12,853.8-5.714-11,601.2-6,092.9-1,252.6
Charlie Puth-12,852.8-6.770-10,239.8-6,075.5-2,613.1
Swae Lee-12,713.5-5.735-378.5-117.1-12,335.1
Arijit Singh-12,600.0-23.001-4,555.9-2,688.7-8,044.1
Morgan Wallen-12,493.2-0.870-11,162.5-10,467.8-1,330.7
Kodak Black-12,443.1-6.000-8,194.8-4,992.9-4,248.4
YoungBoy Never Broke Again-12,359.4-8.118-9,087.0-7,925.0-3,272.4
Sebastian Yatra-12,324.3-5.256-8,084.6-3,354.3-4,239.7
Elton John-12,245.1-8.867-11,048.0-7,780.1-1,197.1
TiÃ«sto-12,146.9-17.600-9,683.7-2,542.9-2,463.3
G-Eazy-12,038.0-2.915-8,967.9-1,308.1-3,070.1
Diplo-12,001.8-3.378-3,813.9-29.9-8,188.0
$uicideboy$-11,991.4-13.659-11,648.7-9,352.3-342.8
50 Cent-11,975.2-8.439-8,141.7-4,855.0-3,833.5
BLACKPINK-11,935.0-8.262-10,976.8-10,250.8-958.2
Gucci Mane-11,787.1-3.249-5,511.2-1,124.2-6,275.9
Alan Walker-11,757.7-5.343-9,817.6-3,986.9-1,940.2
Metallica-11,717.5-5.728-11,671.0-11,526.2-46.5
Ellie Goulding-11,669.2-5.244-8,467.9-6,493.4-3,201.4
Lil Peep-11,622.9-8.149-11,065.6-6,320.8-557.3
Romeo Santos-11,586.9-7.354-7,967.8-4,452.2-3,619.1
Polo G-11,533.0-5.839-8,185.9-5,334.9-3,347.0
Manuel Turizo-11,523.1-7.712-5,633.0-3,716.0-5,890.2
DJ Snake-11,505.4-4.379-8,781.1-421.6-2,724.3
Daft Punk-11,485.4-5.526-6,943.1-4,175.4-4,542.3
2 Chainz-11,390.7-2.443-3,433.9-789.1-7,956.8
P!nk-11,282.6-4.920-10,196.7-7,641.5-1,086.0
Justin Timberlake-11,228.1-5.561-8,164.0-5,768.8-3,064.1
Logic-11,155.7-2.177-8,988.4-4,764.4-2,167.2
Sean Paul-11,144.9-5.103-5,481.2-2,210.3-5,663.7
Jhayco-11,118.2-8.687-4,649.3-1,134.9-6,468.9
Panic! At The Disco-11,060.0-3.142-10,262.0-9,941.0-798.1
MarÃ­lia MendonÃ§a-11,054.3-4.452-8,072.7-5,451.1-2,981.6
Playboi Carti-10,898.8-11.089-7,796.5-5,080.5-3,102.2
Justin Quiles-10,834.4-3.551-3,379.9-1,512.2-7,454.5
Die drei ???-10,833.4-5.441-10,833.4-10,803.7-
Lil Nas X-10,798.1-3.267-10,798.1-6,082.6-
Roddy Ricch-10,758.3-3.574-5,095.9-3,723.2-5,662.4
James Arthur-10,720.0-7.451-9,655.6-8,476.9-1,064.4
Offset-10,665.8-5.104-2,650.9-430.0-8,015.0
Martin Garrix-10,653.4-2.615-9,610.2-757.7-1,043.2
Tory Lanez-10,612.8-7.337-6,702.9-4,397.9-3,909.9
AC/DC-10,562.6-4.962-10,562.6-10,562.6-
Peso Pluma-10,560.4-30.505-5,254.8-1,429.5-5,305.6
The Neighbourhood-10,471.1-9.921-10,466.3-10,076.7-4.8
Major Lazer-10,404.0-3.062-9,167.1-33.1-1,236.9
Pharrell Williams-10,378.7-3.836-2,530.2-1,935.2-7,848.6
Fall Out Boy-10,346.1-4.067-9,319.5-8,595.1-1,026.6
Disney-10,270.6-5.064---10,270.6
Lil Durk-10,267.2-7.532-4,360.3-1,839.3-5,906.9
Lenny TavÃ¡rez-10,253.5-3.975-760.5-147.0-9,493.0
blackbear-10,223.4-2.442-7,026.3-5,632.7-3,197.1
Kid Cudi-10,204.8-5.067-7,378.5-4,051.5-2,826.3
John Mayer-10,126.0-3.102-9,460.0-9,203.0-666.1
Luis Miguel-10,124.8-8.256-10,117.4-10,106.7-7.4
NF-10,121.9-4.569-9,965.3-8,975.8-156.6
USHER-10,072.9-5.281-7,273.2-3,153.0-2,799.7
Wisin-10,046.6-2.652-3,636.8-494.0-6,409.8
Joji-9,839.6-5.352-9,062.2-7,986.2-777.5
Bizarrap-9,798.4-10.884-8,301.4-68.5-1,496.9
5 Seconds of Summer-9,776.0-3.187-9,180.0-8,728.9-596.0
Machine Gun Kelly-9,767.7-2.880-8,421.9-3,256.3-1,345.8
The Kid LAROI-9,702.8-7.620-8,521.4-3,473.0-1,181.4
Akon-9,694.9-6.535-4,402.6-2,353.0-5,292.3
Nirvana-9,670.2-5.458-9,670.2-9,669.7-
Becky G-9,662.5-4.462-6,133.1-1,595.9-3,529.4
Britney Spears-9,657.4-6.313-8,368.7-7,863.7-1,288.7
Pritam-9,653.8-15.745-8,318.8-4.3-1,335.0
Luke Combs-9,653.7-8.431-9,231.6-8,721.1-422.1
Flo Rida-9,639.1-4.105-7,778.3-3,518.2-1,860.7
Lewis Capaldi-9,598.9-5.304-9,598.9-9,191.7-
Zedd-9,598.3-2.252-6,527.7-209.7-3,070.6
Duki-9,580.0-8.542-4,580.0-1,986.5-5,000.0
Robin Schulz-9,555.7-2.709-5,686.2-312.9-3,869.5
Chance the Rapper-9,553.4-1.997-3,773.4-635.0-5,780.0
Anne-Marie-9,529.0-4.302-3,952.9-3,038.2-5,576.2
Macklemore-9,482.4-3.741-2,268.4-324.1-7,214.0
ROSALÃA-9,473.3-5.201-6,389.6-3,411.2-3,083.7
Anitta-9,452.6-3.540-4,692.4-2,065.9-4,760.2
Black Eyed Peas-9,430.4-4.547-9,117.4-6,300.4-312.9
Lauv-9,429.4-3.072-8,534.4-5,736.3-895.0
Don Omar-9,382.1-7.561-7,527.0-3,980.1-1,855.1
ZAYN-9,374.7-2.941-8,451.1-4,327.2-923.5
Green Day-9,357.7-5.427-9,277.0-9,277.0-80.7
Zion & Lennox-9,244.6-3.080-3,421.8-1,710.3-5,822.7
French Montana-9,232.7-2.502-4,500.0-289.4-4,732.7
Lil Yachty-9,224.0-3.814-3,665.3-1,436.7-5,558.8
Zara Larsson-9,193.2-3.289-6,122.9-4,510.8-3,070.3
Lil Tjay-9,178.0-4.861-6,188.8-3,473.0-2,989.1
Camilo-9,150.5-3.345-5,523.2-2,496.4-3,627.3
Little Mix-9,139.2-2.335-7,890.5-5,730.7-1,248.7
Junior H-9,099.9-24.113-6,081.3-3,932.6-3,018.6
John Legend-9,068.9-3.260-5,661.2-4,505.7-3,407.7
Fleetwood Mac-9,054.5-6.630-9,054.3-9,053.9-0.1
DJ Khaled-9,040.3-3.232-8,421.0-440.2-619.4
Henrique & Juliano-8,982.0-8.186-7,367.6-7,120.2-1,614.5
Bob Marley & The Wailers-8,979.5-4.118-8,881.4-8,184.3-98.2
Jorge & Mateus-8,875.6-3.949-6,576.2-6,516.9-2,299.4
2Pac-8,730.7-4.350-8,532.3-3,615.6-198.4
Pink Floyd-8,728.9-4.158-8,728.9-8,727.0-
Skrillex-8,725.1-3.208-4,063.2-751.3-4,661.9
Childish Gambino-8,712.1-4.587-7,985.4-7,551.3-726.8
Enrique Iglesias-8,607.9-3.921-7,173.4-2,082.6-1,434.4
Dr. Dre-8,572.3-4.511-5,591.4-385.0-2,980.9
Michael BublÃ©-8,566.6-12.705-8,168.7-7,067.3-397.9
Guns N' Roses-8,558.7-4.277-8,558.7-8,558.7-
Rick Ross-8,531.7-3.478-2,452.8-582.9-6,078.9
Ne-Yo-8,518.0-4.932-4,158.4-3,640.5-4,359.6
Morat-8,482.3-7.497-6,889.6-4,955.9-1,592.7
Ava Max-8,465.0-4.574-5,924.5-5,494.6-2,540.5
The Rolling Stones-8,440.9-4.070-8,427.0-8,292.2-13.8
Meghan Trainor-8,438.2-4.512-6,813.7-5,415.3-1,624.5
Christian Nodal-8,390.4-5.232-5,918.1-5,183.8-2,472.3
Reik-8,371.9-4.331-7,021.9-3,410.0-1,350.0
Jack Harlow-8,368.7-11.542-5,582.5-3,384.3-2,786.2
Megan Thee Stallion-8,362.3-3.757-4,924.4-2,962.0-3,437.9
Gorillaz-8,359.4-3.788-8,357.5-5,262.3-2.0
Meek Mill-8,341.1-2.772-6,118.4-1,675.0-2,222.6
Kali Uchis-8,334.5-11.484-4,762.6-3,441.9-3,571.9
Miguel-8,318.6-4.806-4,541.2-3,085.1-3,777.4
Bryson Tiller-8,288.5-5.261-5,319.9-5,091.2-2,968.6
Yandel-8,241.7-3.414-4,046.9-867.8-4,194.8
Mariah Carey-8,239.6-11.354-7,516.1-6,139.4-723.5
Banda MS de Sergio LizÃ¡rraga-8,211.3-4.193-7,595.9-7,105.7-615.4
Hozier-8,157.3-8.747-7,684.9-7,480.9-472.4
Alessia Cara-8,128.8-2.388-5,131.8-4,964.3-2,997.0
Florida Georgia Line-8,125.2-1.854-5,253.3-3,787.3-2,871.9
Clean Bandit-8,111.9-2.136-7,880.8-68.8-231.1
Elvis Presley-8,011.3-5.871-7,972.6-6,587.8-38.6
Gusttavo Lima-7,944.2-4.641-6,581.2-5,909.0-1,363.0
Labrinth-7,905.0-4.220-5,098.5-3,959.9-2,806.5
Russ-7,899.7-3.321-7,620.4-6,629.0-279.3
Darell-7,886.5-4.046-1,041.3-298.0-6,845.3
Radiohead-7,681.8-7.028-7,681.8-7,621.5-
Jeremih-7,680.7-2.025-4,002.4-1,570.9-3,678.3
Alicia Keys-7,666.2-3.730-5,541.5-4,917.7-2,124.7
Jonas Blue-7,653.6-2.218-6,321.8-31.7-1,331.8
Luis Fonsi-7,653.1-1.907-6,773.5-1,056.7-879.6
Don Toliver-7,594.2-8.066-3,806.2-2,631.0-3,788.1
Lorde-7,531.4-3.524-7,225.3-6,899.4-306.1
Melanie Martinez-7,515.5-5.376-7,515.5-7,399.1-
Jul-7,496.2-4.574-5,677.8-4,589.2-1,818.3
TWICE-7,457.8-4.215-7,406.7-7,381.4-51.1
Wisin & Yandel-7,453.9-4.681-5,031.4-2,881.4-2,422.5
Tame Impala-7,441.9-5.088-6,913.7-6,823.8-528.2
YG-7,408.9-1.887-3,462.4-888.6-3,946.5
Christina Aguilera-7,387.7-3.543-4,193.8-3,181.8-3,193.9
Julia Michaels-7,387.3-2.268-3,501.2-2,562.1-3,886.1
U2-7,380.7-3.777-6,960.9-6,773.3-419.8
Foo Fighters-7,377.0-4.257-7,377.0-7,370.5-
Ninho-7,375.0-3.619-4,237.5-3,248.9-3,137.5
