Taylor Swift-109,715,030-154,028-1-110,094,449
The Weeknd-104,835,134-258,828-1-113,034,886
Justin Bieber-82,957,171-458,336-3-82,957,171
Drake-81,498,869-29,765-3-86,591,246
Ariana Grande-80,308,012-711,646-3-82,981,758
Ed Sheeran-78,683,591-274,804-2-87,934,910
Rihanna-78,106,248-34,725-2-80,958,750
Bad Bunny-77,955,544-2,741-3-84,533,787
Dua Lipa-74,016,465-116,220-3-77,778,397
Coldplay-72,636,310-206,510-10-72,636,310
Marshmello-68,760,002-94,392-11-68,760,002
David Guetta-67,876,679-164,383-4-75,163,500
Doja Cat-67,201,776--80,999-5-76,357,864
Eminem-67,124,963-291,287-11-68,591,390
Sia-66,093,618-632,111-15-66,093,618
Bruno Mars-65,390,113-86,914-12-68,467,966
Billie Eilish-64,364,848--11,084-8-72,368,528
SZA-63,802,129-180,346-9-71,265,396
Kanye West-61,985,680-145,121-18-61,985,680
Miley Cyrus-61,888,676-222,492-2-84,140,935
Travis Scott-61,487,196-155,562-6-75,422,869
Mariah Carey-60,636,255-1,263,283-22-60,636,255
Post Malone-59,961,410-91,848-13-67,066,636
Calvin Harris-59,646,377-65,392-13-67,342,768
Shakira-59,134,002-61,650-3-82,268,835
Olivia Rodrigo-59,001,865-140,588-18-64,128,148
Maroon 5-58,606,526-27,103-21-58,793,104
Sam Smith-58,021,749-234,147-7-73,972,799
Imagine Dragons-57,514,237--1,593-18-61,624,656
Lana Del Rey-56,779,257-160,555-25-57,613,586
Katy Perry-56,178,521-156,750-29-56,178,521
Harry Styles-55,841,109-61,101-13-66,411,599
Elton John-55,296,977-401,977-33-55,296,977
21 Savage-54,817,717-116,425-19-61,319,583
Adele-54,798,485-31,309-31-54,798,485
Tate McRae-53,684,415-145,682-35-53,684,415
Lady Gaga-53,672,497-13,969-22-57,730,508
Queen-51,699,755-214,507-38-51,699,755
KAROL G-51,660,831-100,214-21-59,143,777
Future-51,116,903-103,842-22-58,360,653
Kendrick Lamar-50,788,512--5,041-33-54,045,549
Jack Harlow-50,685,034-386,603-42-50,685,034
Nicki Minaj-49,934,996--11,756-18-65,680,733
Metro Boomin-49,823,956-146,654-17-62,911,430
J Balvin-49,735,281--22,440-29-54,792,335
Peso Pluma-49,548,743-156,452-33-53,877,990
Arctic Monkeys-49,488,433-148,261-43-49,488,433
Daddy Yankee-49,010,579-78,522-22-58,098,739
Khalid-48,989,507-26,148-28-54,186,217
Selena Gomez-48,936,790--11,260-22-58,879,269
Beyoncé-48,723,779-304,882-26-55,563,018
Chris Brown-48,649,892-128,195-25-54,390,450
OneRepublic-46,246,208-54,931-39-50,035,577
Shawn Mendes-46,118,229-28,266-45-46,917,936
J. Cole-45,036,326-46,027-45-48,760,887
Feid-44,077,796-66,618-54-44,676,579
Ozuna-43,076,802-162,201-40-51,532,028
Rauw Alejandro-43,043,840-103,662-34-52,131,934
Myke Towers-42,888,049-53,857-48-47,235,005
Maluma-42,791,972-36,815-56-43,344,132
Michael Bublé-42,186,817-1,109,917-61-42,186,817
Wham!-42,067,144-1,146,003-61-42,067,144
Halsey-41,649,971--19,503-48-45,939,636
Bebe Rexha-40,893,573-62,217-37-49,496,274
Charlie Puth-40,861,226--154,954-58-42,603,508
Arijit Singh-40,191,277-33,804-57-41,307,811
Britney Spears-39,404,148-291,879-67-39,404,148
Camila Cabello-39,397,003-94,039-57-40,828,152
Jung Kook-39,152,940--200,889-61-40,791,781
Bizarrap-38,410,263-44,620-28-54,300,662
Ellie Goulding-38,276,705-29,408-51-45,626,754
