The Weeknd - Blinding Lights-3,909,362,435-1,637,036
Ed Sheeran - Shape of You-3,696,048,404-1,061,731
Lewis Capaldi - Someone You Loved-3,073,242,252-1,536,954
Post Malone - Sunflower-3,021,226,663-1,749,116
Tones And I - Dance Monkey-2,942,372,860-619,454
Drake - One Dance-2,867,237,073-1,337,168
The Kid LAROI - STAY-2,840,962,998-1,381,534
The Weeknd - Starboy-2,830,984,843-2,213,452
Harry Styles - As It Was-2,830,846,874-2,465,378
Post Malone - rockstar-2,817,714,135-729,474
Imagine Dragons - Believer-2,747,084,306-1,287,953
Glass Animals - Heat Waves-2,734,514,417-1,318,807
Ed Sheeran - Perfect-2,715,399,424-1,301,543
The Chainsmokers - Closer-2,686,600,653-815,894
Shawn Mendes - SeÃ±orita-2,580,332,707-765,582
James Arthur - Say You Won't Let Go-2,550,499,618-1,135,496
Billie Eilish - lovely-2,529,480,844-1,449,724
The Neighbourhood - Sweater Weather-2,510,466,004-2,048,625
Harry Styles - Watermelon Sugar-2,460,661,513-1,066,113
Dua Lipa - Don't Start Now-2,417,035,063-938,591
Billie Eilish - bad guy-2,391,995,800-587,885
Juice WRLD - Lucid Dreams-2,381,594,743-829,124
Ed Sheeran - Thinking out Loud-2,365,306,813-758,326
Drake - God's Plan-2,358,396,299-875,453
Ed Sheeran - Photograph-2,349,038,976-962,943
The Chainsmokers - Something Just Like This-2,332,165,949-1,211,329
Queen - Bohemian Rhapsody-2,308,460,505-872,885
Hozier - Take Me to Church-2,279,453,060-1,260,588
Post Malone - Circles-2,266,346,810-1,112,189
Lady Gaga - Shallow-2,262,330,420-892,429
Justin Bieber - Love Yourself-2,229,786,142-975,313
John Legend - All of Me-2,185,800,031-884,923
Vance Joy - Riptide-2,180,800,993-1,426,996
Imagine Dragons - Thunder-2,173,840,804-1,012,711
OneRepublic - Counting Stars-2,164,300,479-1,316,790
Travis Scott - goosebumps-2,132,391,296-1,034,585
Ariana Grande - 7 rings-2,125,205,426-716,071
XXXTENTACION - SAD!-2,116,689,616-559,735
Macklemore & Ryan Lewis - Can't Hold Us-2,115,883,897-1,511,622
Twenty One Pilots - Stressed Out-2,112,881,138-1,567,461
Avicii - Wake Me Up-2,096,925,927-1,045,752
The Weeknd - The Hills-2,074,150,567-977,256
XXXTENTACION - Jocelyn Flores-2,060,341,237-684,067
Tom Odell - Another Love-2,050,755,761-2,121,044
Passenger - Let Her Go-2,050,557,249-1,149,376
Kendrick Lamar - HUMBLE.-2,028,036,591-828,738
Calvin Harris - One Kiss-2,000,117,535-748,768
Lil Uzi Vert - XO Tour Llif3-1,994,129,680-589,444
Olivia Rodrigo - good 4 u-1,993,327,745-783,111
Imagine Dragons - Demons-1,990,464,798-1,355,422
Olivia Rodrigo - drivers license-1,979,965,066-954,415
Travis Scott - SICKO MODE-1,976,337,637-758,436
Dua Lipa - New Rules-1,975,034,250-622,953
Marshmello - Happier-1,972,514,235-840,705
Camila Cabello - Havana-1,969,134,566-434,935
Shawn Mendes - Treat You Better-1,968,345,441-1,098,432
J. Cole - No Role Modelz-1,959,163,183-1,396,970
Eminem - Lose Yourself-1,955,530,697-1,109,489
DJ Snake - Let Me Love You-1,949,852,230-912,003
Coldplay - Yellow-1,949,596,266-1,853,021
Arctic Monkeys - Do I Wanna Know?-1,941,742,264-1,307,460
The Killers - Mr. Brightside-1,927,095,115-1,044,474
Justin Bieber - Sorry-1,915,376,910-852,053
Dua Lipa - Levitating-1,915,006,608-861,283
Sam Smith - Stay With Me-1,910,523,005-869,763
Lil Nas X - INDUSTRY BABY-1,898,170,654-700,934
The Weeknd - Die For You-1,895,447,463-1,924,380
Halsey - Without Me-1,894,525,072-803,923
Sam Smith - Too Good At Goodbyes-1,888,540,614-929,555
Major Lazer - Lean On-1,884,546,582-696,920
Post Malone - Congratulations-1,858,801,029-709,077
Maroon 5 - Memories-1,851,435,520-768,989
Post Malone - Better Now-1,850,489,033-558,649
Bad Bunny - DÃKITI-1,849,371,918-633,956
Mark Ronson - Uptown Funk-1,843,989,346-669,265
Bruno Mars - That's What I Like-1,840,340,368-1,214,961
Eminem - Without Me-1,840,214,256-1,359,039
SAINt JHN - Roses-1,839,697,050-410,646
Shawn Mendes - There's Nothing Holdin' Me Back-1,832,755,651-1,034,906
Alan Walker - Faded-1,826,105,313-524,892
French Montana - Unforgettable-1,820,131,636-945,094
Mike Posner - I Took A Pill In Ibiza-1,818,181,763-568,642
Bruno Mars - When I Was Your Man-1,815,425,510-1,416,312
Oasis - Wonderwall-1,811,793,415-886,618
Nirvana - Smells Like Teen Spirit-1,806,480,327-928,080
Lil Nas X - MONTERO (Call Me By Your Name)-1,802,421,970-530,317
Bruno Mars - Just the Way You Are-1,793,344,768-1,399,795
Eminem - Till I Collapse-1,790,000,102-845,036
The Chainsmokers - Don't Let Me Down-1,784,634,249-447,448
Ariana Grande - thank u, next-1,780,406,632-500,186
Coldplay - Viva La Vida-1,777,780,981-1,679,363
Queen - Don't Stop Me Now-1,760,959,014-965,411
BTS - Dynamite-1,758,885,702-514,800
24kGoldn - Mood-1,758,693,545-489,416
Elton John - Cold Heart-1,757,638,932-1,173,852
Linkin Park - In the End-1,753,487,234-1,331,419
XXXTENTACION - Moonlight-1,753,252,356-632,182
